,Title,Published_date,Views,Likes,Comments,Month
0,How I Would NOT Learn Data Science in 2023.,03-01-2023,12186,628,84,Jan
1,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],14-12-2022,3646,150,26,Dec
2,The Essential Programming Concepts For Learning Data Science,14-11-2022,16407,691,44,Nov
3,The Data Content House: What You Missed,07-10-2022,9475,323,56,Oct
4,Is Data Science A Good Career?,29-09-2022,41365,1397,116,Sep
5,IRON ANALYST (Teaser) #shorts,27-09-2022,4203,263,21,Sep
6,When a New Data Scientist Joins The Team,29-08-2022,15031,680,127,Aug
7,State of Data Science - Web Data,05-08-2022,10168,357,34,Aug
8,Data Science Town Hall - State of Data Science,04-08-2022,9752,377,38,Aug
9,The Programming Roadmap For Data Science,29-07-2022,14833,821,49,Jul
10,5 Impactful Data Science Projects For Your Portfolio,27-06-2022,37620,1766,85,Jun
11,Machine Learning Saves My Baseball Career?,10-06-2022,7049,321,68,Jun
12,Every Data Scientist... (funny!),24-05-2022,14454,797,144,May
13,State of Data Science (Town Hall) ft - Data Squad,07-05-2022,15873,429,65,May
14,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,04-04-2022,39870,1133,81,Apr
15,Why You Are NOT Landing Data Jobs ... Yet,25-03-2022,17783,771,99,Mar
16,Data Scientists VS NFT Scam,03-03-2022,4475,186,51,Mar
17,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,21-02-2022,10388,489,144,Feb
18,What Professional Data Scientists ACTUALLY Do,14-02-2022,84516,2952,181,Feb
19,Can You Analyze My Data Better Than I Can?,31-01-2022,6497,307,62,Jan
20,Giving Back to My Most Engaged Subscribers!,28-01-2022,2270,117,89,Jan
21,How to Make $1 Billion Betting on Horse Racing with Machine Learning,24-01-2022,16082,639,92,Jan
22,Should You Be Excited About Web 3? (As a Data Scientist),17-01-2022,8495,418,85,Jan
23,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,14-01-2022,7824,227,32,Jan
24,The Only Data Science Explanation You Need,10-01-2022,31412,1774,165,Jan
25,We Need to Talk About The LinkedIn Machine Learning Assessment.,03-01-2022,14084,641,144,Jan
26,How I Would Learn Data Science in 2022 (If I Had to Start Over),27-12-2021,312704,14000,508,Dec
27,What the Heck is WSL 2? (My New Favorite Tool),17-12-2021,8801,355,63,Dec
28,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,10-12-2021,7227,513,22,Dec
29,How Zillow Lost $500 MILLION With Machine Learning,03-12-2021,23165,1132,152,Dec
30,Why Is Data Engineering So HOT Right Now?,26-11-2021,28239,1063,141,Nov
31,Is Data Science Dying?,19-11-2021,109549,3532,346,Nov
32,7 Incredible Books That Transformed My Health and My Life,12-11-2021,7733,386,112,Nov
33,Why EVERYONE Should Start a Podcast (Including YOU),05-11-2021,3577,200,48,Nov
34,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,29-10-2021,10129,254,33,Oct
35,ML Ops: What is it REALLY?,22-10-2021,5455,247,61,Oct
36,Business Skills for Data Science: What are they REALLY?,18-10-2021,6454,290,50,Oct
37,#66DaysOfData Round 3 Live Event! (feat. @statquest),12-10-2021,2191,123,5,Oct
38,Roasting My First Data Science Project (Common Project Mistakes),08-10-2021,5558,275,67,Oct
39,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),20-08-2021,12057,519,112,Aug
40,Project Presentation - Expectations vs. Reality (funny) #shorts,07-08-2021,8875,352,32,Aug
41,Data Science Project - Expectations vs Reality (funny) #shorts,06-08-2021,35146,1319,29,Aug
42,How I Learned to Learn.,31-07-2021,47005,2219,205,Jul
43,Is Spotify Shuffle Really Random? #Shorts,21-07-2021,9110,517,49,Jul
44,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),16-07-2021,2356,93,30,Jul
45,Why are APIs Important for Data Science?,09-07-2021,8801,425,95,Jul
46,Is Your Phone REALLY Listening to You?,03-07-2021,4964,277,118,Jul
47,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,25-06-2021,12429,534,121,Jun
48,#66DaysOfData - 3 Reasons to Start!,18-06-2021,3933,218,38,Jun
49,#66DaysOfData - What is it? #shorts,11-06-2021,8306,355,54,Jun
50,A Quick Data Science Project Tip! #SHORTS,03-06-2021,14947,852,89,Jun
51,Discouraged with Data Science? - Watch THIS video.,28-05-2021,7317,387,197,May
52,How Data Science Projects Pay Off,22-05-2021,10121,580,146,May
53,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,14-05-2021,10216,476,134,May
54,What is a lambda function (python)? #shorts,13-05-2021,12112,752,49,May
55,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,07-05-2021,20027,979,57,May
56,What is Pandas? (Data & Data Science) #shorts,30-04-2021,19540,897,88,Apr
57,The 7 Biggest Data Science  Beginner Mistakes,23-04-2021,71653,3203,279,Apr
58,Data Scientist Reacts: REAL Data Science Job Application Data,16-04-2021,22782,671,88,Apr
